Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	tree_length
0	-8188.545	-8438.324	249.7796	0.8103689	1.626605	0.5825357	6.829515
6	-8190.583	-8440.658	250.075	0.8310337	1.628118	0.6051235	6.640366
12	-8196.66	-8445.177	248.5161	0.81796	1.741641	0.5116388	7.522189
18	-8202.36	-8453.034	250.6737	0.8979055	1.709316	0.5254233	6.315546
24	-8207.558	-8457.034	249.4762	0.8726441	1.795581	0.5895481	6.893498
30	-8207.368	-8457.608	250.2399	0.8711754	1.651265	0.6549894	6.482867
36	-8207.353	-8457.726	250.3738	0.8984208	1.858646	0.6640145	6.315676
42	-8213.502	-8464.476	250.9745	0.8984208	1.724204	0.6358604	6.056734
48	-8214.38	-8463.797	249.4172	0.8984208	1.641226	0.5798142	6.974157
54	-8206.141	-8455.536	249.3958	0.7881846	1.47704	0.6414858	7.060377
60	-8212.808	-8461.714	248.9055	0.7858525	1.587282	0.6481977	7.277333
66	-8203.162	-8452.003	248.8408	0.8048152	1.32412	0.6481977	7.40816
72	-8206.765	-8457.014	250.249	0.8545605	1.676831	0.5033564	6.60039
78	-8206.189	-8457.374	251.1841	0.8734911	1.839367	0.5489187	5.985322
84	-8203.297	-8452.852	249.5548	0.8734911	1.88584	0.5260431	6.87264
90	-8191.22	-8440.285	249.0653	0.7662167	1.636479	0.5845457	7.232499
96	-8194.421	-8443.367	248.9459	0.7662167	1.399017	0.5612945	7.408192
102	-8182.956	-8432.673	249.7177	0.7530102	1.600411	0.5642893	6.918383
108	-8182.229	-8432.367	250.138	0.784866	1.721562	0.5849582	6.613131
114	-8197.71	-8445.362	247.6519	0.7137079	1.80571	0.5956635	7.948614
120	-8185.043	-8435.116	250.073	0.8184544	1.623857	0.5956635	6.657235
126	-8195.455	-8444.764	249.309	0.8399479	1.910277	0.6238043	6.936088
132	-8189.154	-8438.788	249.634	0.8507297	1.631099	0.6104325	6.8626
138	-8193.334	-8443.117	249.7828	0.7874028	1.519285	0.6060276	6.8626
144	-8218.635	-8468.456	249.8218	0.8501674	1.543707	0.5121728	6.875681
150	-8213.286	-8462.239	248.9531	0.8045767	1.596488	0.5222574	7.338535
156	-8212.385	-8461.162	248.7774	0.750288	1.85897	0.558726	7.338535
162	-8205.976	-8456.287	250.3111	0.8469688	1.452149	0.5538637	6.613901
168	-8210.387	-8459.895	249.5082	0.8045397	1.503801	0.6760702	6.955083
174	-8213.465	-8462.237	248.772	0.7983547	1.549131	0.7283118	7.300113
180	-8209.881	-8458.254	248.3736	0.788038	1.51565	0.5805269	7.64058
186	-8210.85	-8458.806	247.9563	0.7798514	1.823666	0.5631634	7.770537
